hu;tracking;hu_externa;patrimonio;lote;sif;ca;serie;item;descricao;posicao;endereco;cod_grupo;nome_grupo;quantidade;reservado;saldo;embalagem;data;empresa;unid_medida;fator_cubagem;ean;id;bloqueio_nome;bloqueio_descricao;nf_entrada_numero;nf_entrada_serie;depositante_cnpj;depositante_nome;depositante_grupo;depositante_franquia;data_vcto;dot;peso_liquido_total;peso_bruto_total;valor_unitario;valor_total;data_fab
2086272;;="2602416";45741;;;"";23G1003;"INS35";"IMPEDANCIMETRO GOLDLINE ZM1P";137838;"P-75";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";04/12/2024;692006;un;1,00;SEM GTIN;18778114;;;7658;1;"29884632000813";;;;11/05/2027;2445;1;1;="";;
2346783;;="";24734;;;"";2023033023111753;"INS28";"TESTADOR MULTIFUNCIONAL CFTV SECURE TEST IP R171000";137838;"P-75";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";05/03/2025;692006;un;1,00;SEM GTIN;18778107;;;7658;1;"29884632000813";;;;;2445;1;1;="";;
2658459;;="2600143";45596;;;"";51570329MV;"INS20";"MULTÍMETRO DIGITAL";137838;"P-75";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";21/05/2025;692006;un;1,00;SEM GTIN;18778099;;;5727;1;"29884632000813";;;;13/01/2027;2445;1;1;="";;
3691526;;="";;;;;45581;"INS11";"ETIQUETADORA METÁLICA";137838;"P-75";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";23/09/2025;692006;un;1,00;SEM GTIN;18778090;;;000058749;1;"29884632000813";;;;;2445;1;1;="";;
3691528;;="";45832;;;"";2707637;"INS15";"IDENTIFICADOR/LOCALIZADOR DE CABOS - COBRE";137838;"P-75";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";23/09/2025;692006;un;1,00;SEM GTIN;18778094;;;334360;1;"29884632000813";;;;;2445;1;1;="";;
3691529;;="2501063";45085;;;"";2339403;"INS08";"SITE MASTER S331P 4GHZ";137838;"P-75";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";23/09/2025;692006;un;1,00;SEM GTIN;18778087;;;19811;4;"29884632000813";;;;10/04/2026;2445;1;1;="";;
3691530;;="";45383;;;"";2318587;"INS06";"CALIBRADOR SITEMASTER";137838;"P-75";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";23/09/2025;692006;un;1,00;SEM GTIN;18778085;;;20074;4;"29884632000813";;;;;2448;1;1;="";;
3691531;;="";;;;;;"CON064";"FITA ROTULADORA";137838;"P-75";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";23/09/2025;692006;un;1,00;SEM GTIN;18778183;;;1719;1;"29884632000813";INFOTEC;;;;2520;1;1;="27,0000000000";27;
3691534;;="";;;;;;"CON154";"SOLDA ESTANHO";137838;"P-75";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";23/09/2025;692006;un;1,00;SEM GTIN;18777971;;;178;1;"29884632000813";INFOTEC;;;;2436;1;1;="26,0000000000";26;
3691535;;="";;;;;;"CON013";"CON N MAC RETO RGC213";137838;"P-75";"Consumiveis";"Consumiveis";3,00000;0,00000;3,00000;"EMB";23/09/2025;692006;un;1,00;SEM GTIN;18778132;;;000000982;1;"29884632000813";;;;;2445;3;3;="";;
