hu;tracking;hu_externa;patrimonio;lote;sif;ca;serie;item;descricao;posicao;endereco;cod_grupo;nome_grupo;quantidade;reservado;saldo;embalagem;data;empresa;unid_medida;fator_cubagem;ean;id;bloqueio_nome;bloqueio_descricao;nf_entrada_numero;nf_entrada_serie;depositante_cnpj;depositante_nome;depositante_grupo;depositante_franquia;data_vcto;dot;peso_liquido_total;peso_bruto_total;valor_unitario;valor_total;data_fab
1347832;;="";;;;;;"CON004";"CON UHF MAC RETO 1/2 FLEX";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778123;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1347833;;="";;;;;;"CON006";"CON N FEM RETO RG58";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778125;;;40061;2;"29884632000813";INFOTEC;;;;2434;1;1;="16,0000000000";16;
1347835;;="";;;;;;"CON012";"CON N MAC RETO LMR600";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778131;;;;1;"29884632000813";;;;;2445;1;1;="";;
1347840;;="";;;;;;"CON019";"CON  N FEM RETO RG213";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778138;;;;2;"29884632000813";;;;;2445;1;1;="";;
1347845;;="";;;;;;"CON026";"CON N MAC RETO CELLFLEX 7/8";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778145;;;40061;2;"29884632000813";INFOTEC;;;;2434;1;1;="80,0000000000";80;
1347848;;="";;;;;;"CON029";"CONECTOR RJ45 CAT5E MACHO";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778148;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1347849;;="";;;;;;"CON030";"CON RJ45 CAT5E MACHO BLINDADO";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778149;;;;1;"29884632000813";;;;;2445;1;1;="";;
1347850;;="";;;;;;"CON031";"CONECTOR RJ45 CAT6 FEMEA";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778150;;;3099;1;"29884632000813";;;;;2445;1;1;="";;
1347851;;="";;;;;;"CON032";"CONECTOR RJ45 CAT6 FEMEA BLINDADO";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778151;;;;1;"29884632000813";;;;;2445;1;1;="";;
1347852;;="";;;;;;"CON033";"CONECTOR RJ45 CAT6 MACHO";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778152;;;;1;"29884632000813";;;;;2445;1;1;="";;
1347853;;="";;;;;;"CON034";"CONECTOR RJ45 CAT6 MACHO BLINDADO";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778153;;;;1;"29884632000813";;;;;2445;1;1;="";;
1347856;;="";;;;;;"CON038";"CON BNC 75 OHMS MACHO RETO RG59";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778157;;;40061;2;"29884632000813";INFOTEC;;;;2434;1;1;="";;
1347857;;="";;;;;;"CON039";"SPLITTER TV (DIVISOR DE SINAL) 1X3";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778158;;;;1;"29884632000813";;;;;2445;1;1;="";;
1347858;;="";;;;;;"CON040";"SPLITTER TV (DIVISOR DE SINAL) 1X4";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778159;;;47811;1;"29884632000813";;;;;2445;1;1;="";;
1347859;;="";;;;;;"CON041";"FUSIVEL 3 A";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778160;;;;1;"29884632000813";;;;;2445;1;1;="";;
1347860;;="";;;;;;"CON042";"KIT PORCA GAIOLA C/PARAFUSO - 10 Porcas - 10 Parafusos";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778161;;;;1;"29884632000813";;;;;2445;1;1;="";;
1347863;;="";;;;;;"CON046";"CABO CONFIGURAÇÃO IMPRESSORA";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778165;;;;1;"29884632000813";;;;;2445;1;1;="";;
1347864;;="";;;;;;"CON047";"CABO CONVERÇÃO HDMI PARA VGA";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778166;;;;1;"29884632000813";;;;;2445;1;1;="";;
1347865;;="";;;;;;"CON048";"CABO CONFIGURAÇÃO USB x RS232";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778167;;;414;1;"29884632000813";INFOTEC;;;;2430;1;1;="37,0000000000";37;
1347866;;="";;;;;;"CON049";"CABO CONFIGURAÇÃO RS232 - DB9F x RJ45";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778168;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1347867;;="";;;;;;"CON050";"CABO CONFIGURAÇÃO PY2PCB - 4147";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778169;;;;1;"29884632000813";;;;;2445;1;1;="";;
1347868;;="";;;;;;"CON051";"CABO CONFIGURAÇÃO PY2PCB - 4083C";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778170;;;;1;"29884632000813";;;;;2445;1;1;="";;
1347869;;="";;;;;;"CON052";"CABO CONFIGURAÇÃO PY2PCB - 1529R";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778171;;;;1;"29884632000813";;;;;2445;1;1;="";;
1347870;;="";;;;;;"CON053";"CABO CONFIGURAÇÃO CISCO A6 - USB x RJ45";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778172;;;;1;"29884632000813";;;;;2445;1;1;="";;
1347871;;="";;;;;;"CON054";"CABO CONFIGURAÇÃO CISCO A6 - DB9F x RJ45";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778173;;;990;1;"29884632000813";;;;;2445;1;1;="";;
1347872;;="";;;;;;"CON055";"CABO EXTENSOR  DB9F x DB9F";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778174;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1347873;;="";;;;;;"CON056";"CABO HDMI 2M";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778175;;;;1;"29884632000813";;;;;2445;1;1;="";;
1347874;;="";;;;;;"CON057";"CABO NORMATEL PY2PCB AL2011013 - E6";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778176;;;;1;"29884632000813";;;;;2445;1;1;="";;
1347875;;="";;;;;;"CON058";"CABO CONFIGURAÇÃO HYTERA PC38";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778177;;;;1;"29884632000813";;;;;2445;1;1;="";;
1347876;;="";;;;;;"CON059";"CABO CONFIGURAÇÃO HYTERA PC37";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778178;;;;1;"29884632000813";;;;;2445;1;1;="";;
1347878;;="";;;;;;"CON063";"CABO PROGRAMAÇÃO DGP 4012C";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778182;;;;1;"29884632000813";;;;;2445;1;1;="";;
1347880;;="";;;;;;"CON065";"FITA ISOLANTE PVC";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778184;;;51;1;"29884632000813";;;;;2445;1;1;="";;
1347884;;="";;;;;;"CON069";"TUBETE FIBRA OPTICA - 50UN";137758;"PCM-9";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;PCT;1,00;SEM GTIN;18778188;;;;1;"29884632000813";;;;;2445;1;1;="";;
