hu;tracking;hu_externa;patrimonio;lote;sif;ca;serie;item;descricao;posicao;endereco;cod_grupo;nome_grupo;quantidade;reservado;saldo;embalagem;data;empresa;unid_medida;fator_cubagem;ean;id;bloqueio_nome;bloqueio_descricao;nf_entrada_numero;nf_entrada_serie;depositante_cnpj;depositante_nome;depositante_grupo;depositante_franquia;data_vcto;dot;peso_liquido_total;peso_bruto_total;valor_unitario;valor_total;data_fab
1348461;;="";;;;;;"CON006";"CON N FEM RETO RG58";137777;"PMLZ-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778125;;;;2;"29884632000813";;;;;2445;1;1;="";;
1348468;;="";;;;;;"CON019";"CON  N FEM RETO RG213";137777;"PMLZ-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778138;;;;2;"29884632000813";;;;;2445;1;1;="";;
1348472;;="";;;;;;"CON026";"CON N MAC RETO CELLFLEX 7/8";137777;"PMLZ-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778145;;;40061;2;"29884632000813";INFOTEC;;;;2434;1;1;="80,0000000000";80;
1348476;;="";;;;;;"CON030";"CON RJ45 CAT5E MACHO BLINDADO";137777;"PMLZ-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778149;;;;1;"29884632000813";;;;;2445;1;1;="";;
1348477;;="";;;;;;"CON031";"CONECTOR RJ45 CAT6 FEMEA";137777;"PMLZ-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778150;;;3099;1;"29884632000813";;;;;2445;1;1;="";;
1348478;;="";;;;;;"CON032";"CONECTOR RJ45 CAT6 FEMEA BLINDADO";137777;"PMLZ-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778151;;;;1;"29884632000813";;;;;2445;1;1;="";;
1348479;;="";;;;;;"CON033";"CONECTOR RJ45 CAT6 MACHO";137777;"PMLZ-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778152;;;;1;"29884632000813";;;;;2445;1;1;="";;
1348480;;="";;;;;;"CON034";"CONECTOR RJ45 CAT6 MACHO BLINDADO";137777;"PMLZ-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778153;;;;1;"29884632000813";;;;;2445;1;1;="";;
1348485;;="";;;;;;"CON039";"SPLITTER TV (DIVISOR DE SINAL) 1X3";137777;"PMLZ-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778158;;;;1;"29884632000813";;;;;2445;1;1;="";;
1348486;;="";;;;;;"CON040";"SPLITTER TV (DIVISOR DE SINAL) 1X4";137777;"PMLZ-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778159;;;;1;"29884632000813";;;;;2445;1;1;="";;
