hu;tracking;hu_externa;patrimonio;lote;sif;ca;serie;item;descricao;posicao;endereco;cod_grupo;nome_grupo;quantidade;reservado;saldo;embalagem;data;empresa;unid_medida;fator_cubagem;ean;id;bloqueio_nome;bloqueio_descricao;nf_entrada_numero;nf_entrada_serie;depositante_cnpj;depositante_nome;depositante_grupo;depositante_franquia;data_vcto;dot;peso_liquido_total;peso_bruto_total;valor_unitario;valor_total;data_fab
1348639;;="";;;;;;"CON006";"CON N FEM RETO RG58";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778125;;;;2;"29884632000813";;;;;2445;1;1;="";;
1348641;;="";;;;;;"CON010";"ADAP N RETO 2 FEMEAS";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778129;;;;2;"29884632000813";;;;;2445;1;1;="";;
1348642;;="";;;;;;"CON011";"CON UHF MAC RETO RG/RGC58";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778130;;;;2;"29884632000813";;;;;2445;1;1;="";;
1348646;;="";;;;;;"CON016";"ADAP BNC 50 T 2 FEM 1 MAC";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778135;;;;2;"29884632000813";;;;;2445;1;1;="";;
1348649;;="";;;;;;"CON019";"CON  N FEM RETO RG213";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778138;;;;2;"29884632000813";;;;;2445;1;1;="";;
1348652;;="";;;;;;"CON026";"CON N MAC RETO CELLFLEX 7/8";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778145;;;40061;2;"29884632000813";INFOTEC;;;;2434;1;1;="80,0000000000";80;
1348656;;="";;;;;;"CON030";"CON RJ45 CAT5E MACHO BLINDADO";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778149;;;;1;"29884632000813";;;;;2445;1;1;="";;
1348657;;="";;;;;;"CON031";"CONECTOR RJ45 CAT6 FEMEA";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778150;;;3099;1;"29884632000813";;;;;2445;1;1;="";;
1348658;;="";;;;;;"CON032";"CONECTOR RJ45 CAT6 FEMEA BLINDADO";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778151;;;;1;"29884632000813";;;;;2445;1;1;="";;
1348659;;="";;;;;;"CON033";"CONECTOR RJ45 CAT6 MACHO";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778152;;;;1;"29884632000813";;;;;2445;1;1;="";;
1348660;;="";;;;;;"CON034";"CONECTOR RJ45 CAT6 MACHO BLINDADO";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778153;;;;1;"29884632000813";;;;;2445;1;1;="";;
1348662;;="";;;;;;"CON036";"ADAP DB9 MACHO X RJ 45 FEMEA";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778155;;;;1;"29884632000813";;;;;2445;1;1;="";;
1348664;;="";;;;;;"CON038";"CON BNC 75 OHMS MACHO RETO RG59";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778157;;;40061;2;"29884632000813";INFOTEC;;;;2434;1;1;="";;
1348665;;="";;;;;;"CON039";"SPLITTER TV (DIVISOR DE SINAL) 1X3";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778158;;;;1;"29884632000813";;;;;2445;1;1;="";;
1348666;;="";;;;;;"CON040";"SPLITTER TV (DIVISOR DE SINAL) 1X4";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778159;;;;1;"29884632000813";;;;;2445;1;1;="";;
1348667;;="";;;;;;"CON041";"FUSIVEL 3 A";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778160;;;;1;"29884632000813";;;;;2445;1;1;="";;
1348668;;="";;;;;;"CON042";"KIT PORCA GAIOLA C/PARAFUSO - 10 Porcas - 10 Parafusos";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778161;;;;1;"29884632000813";;;;;2445;1;1;="";;
1348669;;="";;;;;;"CON043";"ADAP TIPO F FEM x FEM  RG06";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778162;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1348671;;="";;;;;;"CON046";"CABO CONFIGURAÇÃO IMPRESSORA";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778165;;;;1;"29884632000813";;;;;2445;1;1;="";;
1348672;;="";;;;;;"CON047";"CABO CONVERÇÃO HDMI PARA VGA";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778166;;;;1;"29884632000813";;;;;2445;1;1;="";;
1348673;;="";;;;;;"CON048";"CABO CONFIGURAÇÃO USB x RS232";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778167;;;413;1;"29884632000813";INFOTEC;;;;2430;1;1;="37,0000000000";37;
1348674;;="";;;;;;"CON049";"CABO CONFIGURAÇÃO RS232 - DB9F x RJ45";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778168;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1348675;;="";;;;;;"CON050";"CABO CONFIGURAÇÃO PY2PCB - 4147";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778169;;;;1;"29884632000813";;;;;2445;1;1;="";;
1348676;;="";;;;;;"CON051";"CABO CONFIGURAÇÃO PY2PCB - 4083C";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778170;;;;1;"29884632000813";;;;;2445;1;1;="";;
1348677;;="";;;;;;"CON052";"CABO CONFIGURAÇÃO PY2PCB - 1529R";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778171;;;;1;"29884632000813";;;;;2445;1;1;="";;
1348678;;="";;;;;;"CON053";"CABO CONFIGURAÇÃO CISCO A6 - USB x RJ45";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778172;;;;1;"29884632000813";;;;;2445;1;1;="";;
1348679;;="";;;;;;"CON054";"CABO CONFIGURAÇÃO CISCO A6 - DB9F x RJ45";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778173;;;990;1;"29884632000813";;;;;2445;1;1;="";;
1348680;;="";;;;;;"CON055";"CABO EXTENSOR  DB9F x DB9F";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778174;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1348681;;="";;;;;;"CON056";"CABO HDMI 2M";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778175;;;;1;"29884632000813";;;;;2445;1;1;="";;
1348682;;="";;;;;;"CON057";"CABO NORMATEL PY2PCB AL2011013 - E6";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778176;;;;1;"29884632000813";;;;;2445;1;1;="";;
1348684;;="";;;;;;"CON065";"FITA ISOLANTE PVC";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778184;;;;1;"29884632000813";;;;;2445;1;1;="";;
1348688;;="";;;;;;"CON069";"TUBETE FIBRA OPTICA - 50UN";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;PCT;1,00;SEM GTIN;18778188;;;;1;"29884632000813";;;;;2445;1;1;="";;
1348689;;="";;;;;;"CON070";"PILHA ALCALINA AA";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778189;;;;1;"29884632000813";;;;;2445;1;1;="";;
1348690;;="";;;;;;"CON071";"BATERIA 9V";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778190;;;;3;"29884632000813";;;;;2445;1;1;="";;
1348691;;="";;;;;;"CON072";"ALCOOL ISOPROPILICO 1L";137779;"PMXL-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778191;;;;1;"29884632000813";;;;;2445;1;1;="";;
