hu;tracking;hu_externa;patrimonio;lote;sif;ca;serie;item;descricao;posicao;endereco;cod_grupo;nome_grupo;quantidade;reservado;saldo;embalagem;data;empresa;unid_medida;fator_cubagem;ean;id;bloqueio_nome;bloqueio_descricao;nf_entrada_numero;nf_entrada_serie;depositante_cnpj;depositante_nome;depositante_grupo;depositante_franquia;data_vcto;dot;peso_liquido_total;peso_bruto_total;valor_unitario;valor_total;data_fab
1349000;;="";;;;;;"CON006";"CON N FEM RETO RG58";137781;"PNA-2";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778125;;;;1;"29884632000813";;;;;2445;1;1;="";;
1349002;;="";;;;;;"CON010";"ADAP N RETO 2 FEMEAS";137781;"PNA-2";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778129;;;;2;"29884632000813";;;;;2445;1;1;="";;
1349007;;="";;;;;;"CON019";"CON  N FEM RETO RG213";137781;"PNA-2";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778138;;;;2;"29884632000813";;;;;2445;1;1;="";;
1349012;;="";;;;;;"CON026";"CON N MAC RETO CELLFLEX 7/8";137781;"PNA-2";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778145;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1349014;;="";;;;;;"CON028";"CONECTOR RJ45 CAT5E FEMEA BLINDADO";137781;"PNA-2";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778147;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1349016;;="";;;;;;"CON030";"CON RJ45 CAT5E MACHO BLINDADO";137781;"PNA-2";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778149;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1349017;;="";;;;;;"CON031";"CONECTOR RJ45 CAT6 FEMEA";137781;"PNA-2";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778150;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1349022;;="";;;;;;"CON036";"ADAP DB9 MACHO X RJ 45 FEMEA";137781;"PNA-2";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778155;;;;1;"29884632000813";;;;;2445;1;1;="";;
1349024;;="";;;;;;"CON038";"CON BNC 75 OHMS MACHO RETO RG59";137781;"PNA-2";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778157;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1349025;;="";;;;;;"CON039";"SPLITTER TV (DIVISOR DE SINAL) 1X3";137781;"PNA-2";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778158;;;;1;"29884632000813";;;;;2445;1;1;="";;
1349026;;="";;;;;;"CON040";"SPLITTER TV (DIVISOR DE SINAL) 1X4";137781;"PNA-2";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778159;;;;1;"29884632000813";;;;;2445;1;1;="";;
1349027;;="";;;;;;"CON041";"FUSIVEL 3 A";137781;"PNA-2";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778160;;;;1;"29884632000813";;;;;2445;1;1;="";;
1349028;;="";;;;;;"CON042";"KIT PORCA GAIOLA C/PARAFUSO - 10 Porcas - 10 Parafusos";137781;"PNA-2";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778161;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1349029;;="";;;;;;"CON043";"ADAP TIPO F FEM x FEM  RG06";137781;"PNA-2";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778162;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1349031;;="";;;;;;"CON046";"CABO CONFIGURAÇÃO IMPRESSORA";137781;"PNA-2";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778165;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1349032;;="";;;;;;"CON047";"CABO CONVERÇÃO HDMI PARA VGA";137781;"PNA-2";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778166;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1349033;;="";;;;;;"CON048";"CABO CONFIGURAÇÃO USB x RS232";137781;"PNA-2";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778167;;;413;1;"29884632000813";INFOTEC;;;;2430;1;1;="37,0000000000";37;
1349034;;="";;;;;;"CON049";"CABO CONFIGURAÇÃO RS232 - DB9F x RJ45";137781;"PNA-2";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778168;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1349035;;="";;;;;;"CON050";"CABO CONFIGURAÇÃO PY2PCB - 4147";137781;"PNA-2";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778169;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1349036;;="";;;;;;"CON051";"CABO CONFIGURAÇÃO PY2PCB - 4083C";137781;"PNA-2";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778170;;;;1;"29884632000813";;;;;2445;1;1;="";;
1349037;;="";;;;;;"CON052";"CABO CONFIGURAÇÃO PY2PCB - 1529R";137781;"PNA-2";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778171;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
1349038;;="";;;;;;"CON053";"CABO CONFIGURAÇÃO CISCO A6 - USB x RJ45";137781;"PNA-2";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778172;;;;1;"29884632000813";;;;;2445;1;1;="";;
