hu;tracking;hu_externa;patrimonio;lote;sif;ca;serie;item;descricao;posicao;endereco;cod_grupo;nome_grupo;quantidade;reservado;saldo;embalagem;data;empresa;unid_medida;fator_cubagem;ean;id;bloqueio_nome;bloqueio_descricao;nf_entrada_numero;nf_entrada_serie;depositante_cnpj;depositante_nome;depositante_grupo;depositante_franquia;data_vcto;dot;peso_liquido_total;peso_bruto_total;valor_unitario;valor_total;data_fab
1348262;;="2605381";45433;;;"";24C1907;"INS35";"IMPEDANCIMETRO GOLDLINE ZM1P";137788;"PRA-1";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778114;;;6412;1;"29884632000813";;;;17/07/2027;2445;1;1;="";;
1352350;;="";45292;;;"";C007EB0000058;"INS16";"POWER METER AOS200 - M3M8 (MULTIMODO)";137788;"PRA-1";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778095;;;;1;"29884632000813";;;;;2445;1;1;="";;
1602703;;="";46227;;;"";3070300876671;"INS10";"POWER METER TRIBRER BOU350T";137788;"PRA-1";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";30/07/2024;692006;un;1,00;SEM GTIN;18778089;;;;1;"29884632000813";;;;;2445;1;1;="";;
1902659;;="WBS.5019D.233506791.192239";45036;;;"WBS.5019D.233506791.192239";233506791;"INS29";"WIDEBAND (POWER SENSOR - DIGITAL) 5019D";137788;"PRA-1";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";23/09/2024;692006;un;1,00;SEM GTIN;18778108;;;7022;1;"29884632000813";;;;04/09/2026;2445;1;1;="";;
1967351;;="";;;;;;"CON048";"CABO CONFIGURAÇÃO USB x RS232";137788;"PRA-1";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";18/10/2024;692006;un;1,00;SEM GTIN;18778167;;;413;1;"29884632000813";INFOTEC;;;;2430;1;1;="37,0000000000";37;
1967352;;="";;;;;;"CON178";"FITA HELLERMAN T18R 100mm x 2,5mm";137788;"PRA-1";"Consumiveis";"Consumiveis";30,00000;0,00000;30,00000;"EMB";18/10/2024;692006;un;1,00;SEM GTIN;18817770;;;507169;0;"29884632000813";INFOTEC;;;;2429;30;30;="";;
1967353;;="";;;;;;"CON181";"FITA HELLERMAN T80L 390mm x 4,7mm";137788;"PRA-1";"Consumiveis";"Consumiveis";30,00000;0,00000;30,00000;"EMB";18/10/2024;692006;un;1,00;SEM GTIN;18817775;;;507169;0;"29884632000813";INFOTEC;;;;2429;30;30;="";;
1967441;;="";;;;;;"CON030";"CON RJ45 CAT5E MACHO BLINDADO";137788;"PRA-1";"Consumiveis";"Consumiveis";30,00000;0,00000;30,00000;"EMB";18/10/2024;692006;un;1,00;SEM GTIN;18778149;;;;1;"29884632000813";;;;;2445;30;30;="";;
1967442;;="";;;;;;"FER21";"LANTERNA LED";137788;"PRA-1";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";18/10/2024;692006;un;1,00;SEM GTIN;18778016;;;482449;3;"29884632000813";;;;;2445;1;1;="";;
1967443;;="";;;;;;"CON145";"PATCH CORD CAT5E - 2,5M";137788;"PRA-1";"Consumiveis";"Consumiveis";10,00000;0,00000;10,00000;"EMB";18/10/2024;692006;un;1,00;SEM GTIN;18777962;;;3115;1;"29884632000813";;;;;2445;10;10;="";;
