hu;tracking;hu_externa;patrimonio;lote;sif;ca;serie;item;descricao;posicao;endereco;cod_grupo;nome_grupo;quantidade;reservado;saldo;embalagem;data;empresa;unid_medida;fator_cubagem;ean;id;bloqueio_nome;bloqueio_descricao;nf_entrada_numero;nf_entrada_serie;depositante_cnpj;depositante_nome;depositante_grupo;depositante_franquia;data_vcto;dot;peso_liquido_total;peso_bruto_total;valor_unitario;valor_total;data_fab
5453577;;="";;;;;;"FER74";"CHAVE PHILIPS SIMPLES 1/8 x 3";468929;"372- UMAC";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";27/07/2026;692006;un;1,00;SEM GTIN;18778068;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
5453578;;="";;;;;;"ESS04";"TALABARTE EM Y COM ABSORVEDOR DE ENERGIA";468929;"372- UMAC";"Essenciais";"Essenciais";1,00000;0,00000;1,00000;"EMB";27/07/2026;692006;un;1,00;SEM GTIN;18777989;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
5453579;;="";;;;;;"ESS09";"TRAVAQUEDAS CABO DE AÇO";468929;"372- UMAC";"Essenciais";"Essenciais";1,00000;0,00000;1,00000;"EMB";27/07/2026;692006;un;1,00;SEM GTIN;18777994;;;;1;"29884632000813";INFOTEC;;;;2426;1;1;="1,0000000000";1;
5453580;;="2600597";45955;;;;59211364MV;"INS20";"MULTÍMETRO DIGITAL";468929;"372- UMAC";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";27/07/2026;692006;un;1,00;SEM GTIN;18778099;;;000000166;1;"29884632000813";;;;02/02/2027;2445;1;1;="";;
5453584;;="";;;;;;"ESS01";"CINTURÃO DE SEGURANÇA PARAQUEDISTA - CA VÁLIDO";468929;"372- UMAC";"Essenciais";"Essenciais";1,00000;0,00000;1,00000;"EMB";27/07/2026;692006;un;1,00;SEM GTIN;18777986;;;1;1;"29884632000813";INFOTEC;;;;2421;1;1;="1,0000000000";1;
5453585;;="";;;;;;"FER08";"CHAVE DE FENDA ISOLADA 1/4x6mm";468929;"372- UMAC";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";27/07/2026;692006;un;1,00;SEM GTIN;18778003;;;838297;1;"29884632000813";;;;;2445;1;1;="";;
5453586;;="";45901;;;;22380987;"INS33";"MULTIMEDIDOR DE REDE FLUKE MS2-100";468929;"372- UMAC";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";27/07/2026;692006;un;1,00;SEM GTIN;18778112;;;;1;"29884632000813";;;;;2445;1;1;="";;
5453589;;="";;;;;;"FER02";"CHAVE DE FENDA ISOLADA 3/8x8mm";468929;"372- UMAC";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";27/07/2026;692006;un;1,00;SEM GTIN;18777997;;;820305;1;"29884632000813";;;;;2445;1;1;="";;
5453590;;="";;;;;;"FER03";"CHAVE DE FENDA 1/4x8mm";468929;"372- UMAC";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";27/07/2026;692006;un;1,00;SEM GTIN;18777998;;;;0;"29884632000813";;;;;2445;1;1;="";;
5453591;;="";;;;;;"FER04";"CHAVE DE FENDA ISOLADA 1/8x3mm";468929;"372- UMAC";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";27/07/2026;692006;un;1,00;SEM GTIN;18777999;;;820305;1;"29884632000813";;;;;2445;1;1;="";;
