hu;tracking;hu_externa;patrimonio;lote;sif;ca;serie;item;descricao;posicao;endereco;cod_grupo;nome_grupo;quantidade;reservado;saldo;embalagem;data;empresa;unid_medida;fator_cubagem;ean;id;bloqueio_nome;bloqueio_descricao;nf_entrada_numero;nf_entrada_serie;depositante_cnpj;depositante_nome;depositante_grupo;depositante_franquia;data_vcto;dot;peso_liquido_total;peso_bruto_total;valor_unitario;valor_total;data_fab
3992216;;="";;;;;;"FER02";"CHAVE DE FENDA ISOLADA 3/8x8mm";137850;"UMLI";"Ferramentas";"Ferramentas";2,00000;0,00000;2,00000;"EMB";05/11/2025;692006;un;1,00;SEM GTIN;18777997;;;820305;1;"29884632000813";;;;;2445;2;2;="";;
3992218;;="";;;;;;"FER04";"CHAVE DE FENDA ISOLADA 1/8x3mm";137850;"UMLI";"Ferramentas";"Ferramentas";2,00000;0,00000;2,00000;"EMB";05/11/2025;692006;un;1,00;SEM GTIN;18777999;;;820305;1;"29884632000813";;;;;2445;2;2;="";;
3992219;;="";;;;;;"CON065";"FITA ISOLANTE PVC";137850;"UMLI";"Consumiveis";"Consumiveis";2,00000;0,00000;2,00000;"EMB";05/11/2025;692006;un;1,00;SEM GTIN;18778184;;;94;1;"29884632000813";INFOTEC;;;;2534;2;2;="8,0000000000";16;
3992220;;="";;;;;;"CON163";"CONECTOR RJ11 MACHO";137850;"UMLI";"Consumiveis";"Consumiveis";10,00000;0,00000;10,00000;"EMB";05/11/2025;692006;un;1,00;SEM GTIN;18777980;;;000029019;1;"29884632000813";;;;;2445;10;10;="";;
3992221;;="";;;;;;"FER75";"DECAPADOR CABO COAXIAL";137850;"UMLI";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";05/11/2025;692006;un;1,00;SEM GTIN;18778069;;;189547;1;"29884632000813";;;;;2445;1;1;="";;
3992222;;="";;;;;;"FER34";"ALICATE PRENSA TERMINAIS 0,5 - 6mm";137850;"UMLI";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";05/11/2025;692006;un;1,00;SEM GTIN;18778029;;;;1;"29884632000813";;;;;2445;1;1;="";;
3992223;;="";;;;;;"CON029";"CONECTOR RJ45 CAT5E MACHO";137850;"UMLI";"Consumiveis";"Consumiveis";10,00000;0,00000;10,00000;"EMB";05/11/2025;692006;un;1,00;SEM GTIN;18778148;;;000000982;1;"29884632000813";;;;;2445;10;10;="";;
3992225;;="";;;;;;"CON053";"CABO CONFIGURAÇÃO CISCO A6 - USB x RJ45";137850;"UMLI";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";05/11/2025;692006;un;1,00;SEM GTIN;18778172;;;000000926;1;"29884632000813";;;;;2445;1;1;="";;
3992226;;="";;;;;;"CON054";"CABO CONFIGURAÇÃO CISCO A6 - DB9F x RJ45";137850;"UMLI";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";05/11/2025;692006;un;1,00;SEM GTIN;18778173;;;000000926;1;"29884632000813";;;;;2445;1;1;="";;
3992227;;="2504073";45532;;;"";61040718MV;"INS20";"MULTÍMETRO DIGITAL";137850;"UMLI";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";05/11/2025;692006;un;1,00;SEM GTIN;18778099;;;;1;"29884632000813";;;;09/09/2026;2445;1;1;="";;
