hu;tracking;hu_externa;patrimonio;lote;sif;ca;serie;item;descricao;posicao;endereco;cod_grupo;nome_grupo;quantidade;reservado;saldo;embalagem;data;empresa;unid_medida;fator_cubagem;ean;id;bloqueio_nome;bloqueio_descricao;nf_entrada_numero;nf_entrada_serie;depositante_cnpj;depositante_nome;depositante_grupo;depositante_franquia;data_vcto;dot;peso_liquido_total;peso_bruto_total;valor_unitario;valor_total;data_fab
1884636;;="";;;;"";;"INS15";"IDENTIFICADOR/LOCALIZADOR DE CABOS - COBRE";137854;"UMPT";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";17/09/2024;692006;un;1,00;SEM GTIN;18778094;;;334360;1;"29884632000813";;;;;2445;1;1;="";;
2960575;;="";;;;;;"CON050";"CABO CONFIGURAÇÃO PY2PCB - 4147";137854;"UMPT";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";31/07/2025;692006;un;1,00;SEM GTIN;18778169;;;000000724;1;"29884632000813";;;;;2445;1;1;="";;
2960577;;="";;;;;;"CON048";"CABO CONFIGURAÇÃO USB x RS232";137854;"UMPT";"Consumiveis";"Consumiveis";1,00000;0,00000;1,00000;"EMB";31/07/2025;692006;un;1,00;SEM GTIN;18778167;;;;1;"29884632000813";;;;;2445;1;1;="";;
3757137;;="2503995";45637;;;"";61040833MV;"INS20";"MULTÍMETRO DIGITAL";137854;"UMPT";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";01/10/2025;692006;un;1,00;SEM GTIN;18778099;;;000000166;1;"29884632000813";;;;01/09/2026;2445;1;1;="";;
5452429;;="";;;;;;"ESS01";"CINTURÃO DE SEGURANÇA PARAQUEDISTA - CA VÁLIDO";137854;"UMPT";"Essenciais";"Essenciais";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18777986;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452430;;="";;;;"";;"ESS02";"MOSQUETÃO";137854;"UMPT";"Essenciais";"Essenciais";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18777987;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452431;;="";;;;;;"ESS03";"TALABARTE DE POSICIONAMENTO EM CORDA";137854;"UMPT";"Essenciais";"Essenciais";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18777988;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452432;;="";;;;;;"ESS04";"TALABARTE EM Y COM ABSORVEDOR DE ENERGIA";137854;"UMPT";"Essenciais";"Essenciais";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18777989;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452433;;="";;;;;;"ESS09";"TRAVAQUEDAS CABO DE AÇO";137854;"UMPT";"Essenciais";"Essenciais";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18777994;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452448;;="";;;;"";;"FER01";"CHAVE FENDA SIMPLES 1/2x12mm";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18777996;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452449;;="";;;;"";;"FER03";"CHAVE DE FENDA 1/4x8mm";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18777998;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452450;;="";;;;;;"FER05";"CHAVE DE FENDA 1/8x3mm";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778000;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452455;;="";;;;"";;"FER07";"CHAVE FENDA SIMPLES 1/4x6mm";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778002;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452457;;="";;;;;;"FER11";"CHAVE DE FENDA 1/4x5mm";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778006;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452459;;="";;;;"";;"FER12";"CHAVE PHILIPS 1/4x5mm";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778007;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452460;;="";;;;"";;"FER144";"ETIQUETADORA BROTHER P-80";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;UN;1,00;SEM GTIN;18852671;;;0101;1;"29884632000813";INFOTEC;;;;2443;999;999;="1,0000000000";1;
5452462;;="";;;;"";;"FER18";"CHAVE DE FENDA  1/8x6mm";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778013;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452463;;="";;;;;;"FER19";"CHAVE CANHÃO 11mm";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778014;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452465;;="";;;;;;"FER21";"LANTERNA LED";137854;"UMPT";"Ferramentas";"Ferramentas";2,00000;0,00000;2,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778016;;;19699;4;"29884632000813";;;;;2448;2;2;="";;
5452466;;="";;;;;;"FER22";"TRENA 10M";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778017;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452467;;="";;;;;;"FER23";"ARCO DE SERRA";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778018;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452469;;="";;;;;;"FER29";"CHAVE CANHÃO 12mm";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778024;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452472;;="";;;;"";;"FER30";"CHAVE PHILIPS 1/8x6mm";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778025;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452473;;="";;;;"";;"FER31";"JOGO CHAVE TORK L";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778026;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452476;;="";;;;"";;"FER33";"JOGO CHAVE ALLEN L";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778028;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452479;;="";;;;;;"FER34";"ALICATE PRENSA TERMINAIS 0,5 - 6mm";137854;"UMPT";"Ferramentas";"Ferramentas";2,00000;0,00000;2,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778029;;;19699;4;"29884632000813";;;;;2448;2;2;="";;
5452482;;="";;;;;;"FER40";"CHAVE CANHÃO 8mm";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778034;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452486;;="";;;;;;"FER41";"CHAVE INGLESA 12";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778035;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452487;;="";;;;;;"FER43";"CHAVE CANHÃO 10mm";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778037;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452489;;="";;;;;;"FER44";"CHAVE CANHÃO 6mm";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778038;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452490;;="";;;;;;"FER45";"CHAVE INGLESA 6";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778039;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452491;;="";;;;;;"FER46";"CHAVE INGLESA 8";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778040;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452492;;="";;;;;;"FER48";"CHAVE CANHÃO 13mm";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778042;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452493;;="";;;;"";;"FER49";"ALICATE UNIVERSAL";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778043;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452494;;="";;;;;;"FER50";"CHAVE TORK T25";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778044;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452495;;="";;;;;;"FER52";"CHAVE TORK T15";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778046;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452497;;="";;;;;;"FER53";"CHAVE TORK T20";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778047;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452498;;="";;;;;;"FER59";"ALICATE DE CORTE DIAGONAL TAM6";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778053;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452500;;="";;;;"";;"FER71";"ALICATE PRENSA TERMINAL TUBULAR 6 - 16mm²";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778065;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452503;;="";;;;;;"FER61";"CHAVE FENDA 3/16x4mm";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778055;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452504;;="";;;;;;"FER63";"ALICATE BICO TAM 6";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778057;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452505;;="";;;;;;"FER66";"ALICATE REBITADOR";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778060;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452507;;="";;;;;;"FER67";"CHAVE PHILIPS 3/16x4mm";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778061;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452508;;="";;;;;;"FER68";"ALICATE CRIMPADOR RJ11, RJ12 E RJ45";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778062;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452509;;="";;;;;;"FER69";"CHAVE TORK T27 EM L";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778063;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452510;;="";;;;;;"FER73";"CHAVE PHILIPS 5/16x8";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778067;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452511;;="";;;;;;"FER74";"CHAVE PHILIPS SIMPLES 1/8 x 3";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778068;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452512;;="";;;;;;"FER76";"LIMA REDONDA";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778070;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452513;;="";;;;;;"FER77";"CHAVE PHILIPS 1/4x6mm";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778071;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452514;;="";;;;"";;"FER78";"CHAVE DE FENDA 3/16x5mm";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778072;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452515;;="";;;;;;"FER79";"ALICATE DE PRESSÃO 10`";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778073;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452516;;="";;;;;;"FER80";"LIMA CHATA";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778074;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452517;;="";;;;;;"FER82";"FERRO DE SOLDA 60W";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778076;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452518;;="";;;;;;"FER84";"JOGO DE CHAVE COMBINADA 6 À 22mm";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778078;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452519;;="";;;;;;"FER87";"CHAVE FENDA SIMPLES 3/8x8mm";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18779184;;;38185;1;"29884632000813";INFOTEC;;;;2424;0;0;="39,0000000000";39;
5452520;;="";;;;"";;"FER90";"CHAVE FENDA SIMPLES 3/8x6mm";137854;"UMPT";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18779187;;;38185;1;"29884632000813";INFOTEC;;;;2424;0;0;="77,0000000000";77;
