hu;tracking;hu_externa;patrimonio;lote;sif;ca;serie;item;descricao;posicao;endereco;cod_grupo;nome_grupo;quantidade;reservado;saldo;embalagem;data;empresa;unid_medida;fator_cubagem;ean;id;bloqueio_nome;bloqueio_descricao;nf_entrada_numero;nf_entrada_serie;depositante_cnpj;depositante_nome;depositante_grupo;depositante_franquia;data_vcto;dot;peso_liquido_total;peso_bruto_total;valor_unitario;valor_total;data_fab
1348459;;="";45093;;;"";22411697;"INS33";"MULTIMEDIDOR DE REDE FLUKE MS2-100";137855;"UMTJ";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778112;;;000000166;1;"29884632000813";;;;;2445;1;1;="";;
1349345;;="";45956;;;"";2707753;"INS15";"IDENTIFICADOR/LOCALIZADOR DE CABOS - COBRE";137855;"UMTJ";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778094;;;;1;"29884632000813";;;;;2445;1;1;="";;
4596763;;="2501955";45551;;;"";61740597MV;"INS20";"MULTÍMETRO DIGITAL";137855;"UMTJ";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";28/01/2026;692006;un;1,00;SEM GTIN;18778099;;;000000166;1;"29884632000813";;;;13/05/2026;2445;1;1;="";;
5196086;;="244768";46064;;;"";2010487;"INS04";"ANALISADOR DE WIFI";137855;"UMTJ";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";12/05/2026;692006;un;1,00;SEM GTIN;18778083;;;;1;"29884632000813";;;;12/11/2027;2445;1;1;="";;
5452092;;="";;;;;;"FER63";"ALICATE BICO TAM 6";137855;"UMTJ";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778057;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452093;;="";;;;"";;"FER57";"ALICATE CORTA CABO 300mm²";137855;"UMTJ";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778051;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452095;;="";;;;;;"FER68";"ALICATE CRIMPADOR RJ11, RJ12 E RJ45";137855;"UMTJ";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778062;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452096;;="";;;;"";;"FER54";"ALICATE CRIMPAR CABO COAXIAL";137855;"UMTJ";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778048;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452097;;="";;;;;;"FER59";"ALICATE DE CORTE DIAGONAL TAM6";137855;"UMTJ";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778053;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452098;;="";;;;"";;"FER64";"ALICATE DE CORTE TAM 4";137855;"UMTJ";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778058;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452099;;="";;;;;;"FER79";"ALICATE DE PRESSÃO 10`";137855;"UMTJ";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778073;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452100;;="";;;;;;"FER34";"ALICATE PRENSA TERMINAIS 0,5 - 6mm";137855;"UMTJ";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778029;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452101;;="";;;;"";;"FER71";"ALICATE PRENSA TERMINAL TUBULAR 6 - 16mm²";137855;"UMTJ";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778065;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452133;;="";;;;;;"FER66";"ALICATE REBITADOR";137855;"UMTJ";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778060;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5452134;;="";;;;;;"FER23";"ARCO DE SERRA";137855;"UMTJ";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";24/07/2026;692006;un;1,00;SEM GTIN;18778018;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
