hu;tracking;hu_externa;patrimonio;lote;sif;ca;serie;item;descricao;posicao;endereco;cod_grupo;nome_grupo;quantidade;reservado;saldo;embalagem;data;empresa;unid_medida;fator_cubagem;ean;id;bloqueio_nome;bloqueio_descricao;nf_entrada_numero;nf_entrada_serie;depositante_cnpj;depositante_nome;depositante_grupo;depositante_franquia;data_vcto;dot;peso_liquido_total;peso_bruto_total;valor_unitario;valor_total;data_fab
1350586;;="";46073;;;"";3119407;"INS15";"IDENTIFICADOR/LOCALIZADOR DE CABOS - COBRE";466015;"380-UMVV";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";20/03/2024;692006;un;1,00;SEM GTIN;18778094;;;;1;"29884632000813";;;;;2445;1;1;="";;
2658444;;="2603304";45813;;;"";61040556MV;"INS20";"MULTÍMETRO DIGITAL";466015;"380-UMVV";"Instrumentos";"Instrumentos";1,00000;0,00000;1,00000;"EMB";21/05/2025;692006;un;1,00;SEM GTIN;18778099;;;000000166;1;"29884632000813";;;;07/04/2027;2445;1;1;="";;
5581448;;="";;;;;;"FER63";"ALICATE BICO TAM 6";466015;"380-UMVV";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";04/09/2026;692006;un;1,00;SEM GTIN;18778057;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5581449;;="";;;;;;"FER68";"ALICATE CRIMPADOR RJ11, RJ12 E RJ45";466015;"380-UMVV";"Ferramentas";"Ferramentas";2,00000;0,00000;2,00000;"EMB";04/09/2026;692006;un;1,00;SEM GTIN;18778062;;;19699;4;"29884632000813";;;;;2448;2;2;="";;
5581450;;="";;;;"";;"FER64";"ALICATE DE CORTE TAM 4";466015;"380-UMVV";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";04/09/2026;692006;un;1,00;SEM GTIN;18778058;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5581451;;="";;;;;;"FER79";"ALICATE DE PRESSÃO 10`";466015;"380-UMVV";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";04/09/2026;692006;un;1,00;SEM GTIN;18778073;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5581452;;="";;;;;;"FER34";"ALICATE PRENSA TERMINAIS 0,5 - 6mm";466015;"380-UMVV";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";04/09/2026;692006;un;1,00;SEM GTIN;18778029;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5581453;;="";;;;"";;"FER49";"ALICATE UNIVERSAL";466015;"380-UMVV";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";04/09/2026;692006;un;1,00;SEM GTIN;18778043;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5581455;;="";;;;;;"FER05";"CHAVE DE FENDA 1/8x3mm";466015;"380-UMVV";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";04/09/2026;692006;un;1,00;SEM GTIN;18778000;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5581456;;="";;;;;;"FER87";"CHAVE FENDA SIMPLES 3/8x8mm";466015;"380-UMVV";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";04/09/2026;692006;un;1,00;SEM GTIN;18779184;;;38185;1;"29884632000813";INFOTEC;;;;2424;0;0;="39,0000000000";39;
5581457;;="";;;;"";;"FER15";"CHAVE L FIXA 17mm";466015;"380-UMVV";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";04/09/2026;692006;un;1,00;SEM GTIN;18778010;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5581458;;="";;;;"";;"FER12";"CHAVE PHILIPS 1/4x5mm";466015;"380-UMVV";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";04/09/2026;692006;un;1,00;SEM GTIN;18778007;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5581459;;="";;;;;;"FER67";"CHAVE PHILIPS 3/16x4mm";466015;"380-UMVV";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";04/09/2026;692006;un;1,00;SEM GTIN;18778061;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5581460;;="";;;;;;"FER75";"DECAPADOR CABO COAXIAL";466015;"380-UMVV";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";04/09/2026;692006;un;1,00;SEM GTIN;18778069;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5581461;;="";;;;"";;"FER33";"JOGO CHAVE ALLEN L";466015;"380-UMVV";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";04/09/2026;692006;un;1,00;SEM GTIN;18778028;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
5581462;;="";;;;"";;"FER27";"SUGADOR DE SOLDA";466015;"380-UMVV";"Ferramentas";"Ferramentas";1,00000;0,00000;1,00000;"EMB";04/09/2026;692006;un;1,00;SEM GTIN;18778022;;;19699;4;"29884632000813";;;;;2448;1;1;="";;
