Plataforma;Nome_Item;Quantidade
P-09;MULTÍMETRO DIGITAL;1.0
P-09;PUNÇÃO 105mm;1.0
P-09;CHAVE DE FENDA 1/8x3mm;1.0
P-09;CHAVE PHILIPS ISOLADA 3/16x4mm;1.0
P-09;CHAVE PHILIPS ISOLADA 1/8x4mm;1.0
P-09;CHAVE PHILIPS ISOLADA 1/8x3.1/8mm;1.0
P-09;TRENA 10M;1.0
P-09;ARCO DE SERRA;1.0
P-09;SUGADOR DE SOLDA;1.0
P-09;CHAVE CANHÃO 12mm;1.0
P-09;JOGO CHAVE TORK L;1.0
P-09;JOGO CHAVE ALLEN L;1.0
P-09;CHAVE PHILIPS ISOLADA 5/16x6mm;1.0
P-09;PINÇA CORNETA;1.0
P-09;GUIA SERRA COPO;1.0
P-09;JOGO SERRA COPO 19, 22, 29, 32, 35mm;1.0
P-09;CHAVE CANHÃO 8mm;1.0
P-09;LIXADEIRA 110v - 220v;1.0
P-09;CHAVE CANHÃO 6mm;1.0
P-09;CHAVE INGLESA 6;1.0
P-09;CHAVE CANHÃO 13mm;1.0
P-09;CHAVE TORK T25;1.0
P-09;ALICATE CRIMPAR CABO COAXIAL;1.0
P-09;CHAVE BARGOA;1.0
P-09;ALICATE DE CORTE DIAGONAL TAM6;1.0
P-09;ALICATE REBITADOR;1.0
P-09;LIMA REDONDA;1.0
P-09;CHAVE DE FENDA 3/16x5mm;1.0
P-09;LIMA CHATA;1.0
P-09;FERRO DE SOLDA 60W;1.0
P-09;JOGO DE CHAVE COMBINADA 6 À 22mm;1.0
P-09;BADISCO;1.0
P-09;POWER METER TRIBRER BOU350T;1.0
P-09;ETIQUETADORA METÁLICA;1.0
P-09;TESTADOR MULTIFUNCIONAL CFTV SECURE TEST IP R171000;1.0
P-09;WIDEBAND (POWER SENSOR - DIGITAL) 5019D;1.0
P-09;IDENTIFICADOR/LOCALIZADOR DE CABOS - COBRE;1.0
P-09;MULTIMEDIDOR DE REDE NAVITEK NT R153001;1.0
P-09;POWER METER AOS200 - S3S5;1.0
P-09;DECAPADOR CABO COAXIAL;1.0
P-09;TERMÔMETRO INFRAVERMELHO;1.0
P-09;CALIBRADOR SITEMASTER;1.0
P-09;TESTADOR DE CATV (ANALÓGICO);1.0
P-09;CARGA RESISTIVA 50ohms 100W;1.0
P-09;WATTIMETRO ANALÓGICO E DIGITAL BIRD 43 PRO;1.0
P-09;SITE MASTER S331P 4GHZ;1.0
P-09;MEGOMETRO MI-2552;1.0
P-09;IMPEDANCIMETRO GOLDLINE ZM1P;1.0
P-09;JOGO DE CHAVE DE BORNES 6 PÇS;1.0
P-09;ALICATE BICO TAM 6;1.0
P-09;ALICATE CORTA CABO 300mm²;1.0
P-09;ALICATE CRIMPADOR RJ11, RJ12 E RJ45;3.0
P-09;ALICATE DE CORTE TAM 4;1.0
P-09;ALICATE DE PRESSÃO 10`;1.0
P-09;ALICATE PRENSA TERMINAIS 0,5 - 6mm;1.0
P-09;ALICATE PRENSA TERMINAL TUBULAR 6 - 16mm²;1.0
P-09;ALICATE UNIVERSAL;1.0
P-09;CHAVE CANHÃO 10mm;1.0
P-09;CHAVE CANHÃO 11mm;1.0
P-09;CHAVE DE BOCA ISOLADA 15;1.0
P-09;CHAVE DE BOCA ISOLADA 17;1.0
P-09;CHAVE DE FENDA  1/8x6mm;1.0
P-09;CHAVE DE FENDA 1/4x5mm;1.0
P-09;CHAVE DE FENDA 1/4x8mm;1.0
P-09;CHAVE DE FENDA ISOLADA 1/4x4mm;1.0
P-09;CHAVE DE FENDA ISOLADA 1/4x8mm;1.0
P-09;CHAVE DE FENDA ISOLADA 1/8x3mm;1.0
P-09;CHAVE DE FENDA ISOLADA 3/16x4mm;1.0
P-09;CHAVE DE FENDA ISOLADA 3/16x5;1.0
P-09;CHAVE DE FENDA ISOLADA 3/8x8mm;1.0
P-09;CHAVE FENDA SIMPLES 1/2x12mm;1.0
P-09;CHAVE FENDA SIMPLES 1/4x6mm;1.0
P-09;CHAVE FENDA 3/16x4mm;1.0
P-09;CHAVE FENDA SIMPLES 3/8x6mm;1.0
P-09;CHAVE FENDA SIMPLES 3/8x8mm;1.0
P-09;CHAVE INGLESA 12;1.0
P-09;CHAVE INGLESA 8;1.0
P-09;CHAVE L FIXA 17mm;1.0
P-09;CHAVE PHILIPS 1/4x5mm;1.0
P-09;CHAVE PHILIPS 3/16x4mm;1.0
P-09;CHAVE PUNCH DOWM;1.0
P-09;CHAVE TORK T15;1.0
P-09;CHAVE TORK T20;1.0
P-09;CHAVE TORK T27 EM L;1.0
P-09;ETIQUETADORA BROTHER P-80;1.0
P-09;JOGO DE CHAVE CATRACA SOQUETES ESTRIADOS 10mm a 32mm;1.0
P-09;PENDRIVE 64 GB SANDISK;1.0
P-38;PUNÇÃO 105mm;1.0
P-38;CHAVE FENDA SIMPLES 1/2x12mm;1.0
P-38;CHAVE DE FENDA 1/4x8mm;1.0
P-38;CHAVE DE FENDA 1/8x3mm;1.0
P-38;CHAVE DE FENDA ISOLADA 1/4x4mm;1.0
P-38;CHAVE PHILIPS ISOLADA 3/16x4mm;1.0
P-38;CHAVE PHILIPS ISOLADA 1/8x4mm;1.0
P-38;CHAVE L FIXA 17mm;1.0
P-38;CHAVE DE FENDA ISOLADA 3/16x4mm;1.0
P-38;CHAVE CANHÃO 11mm;1.0
P-38;LANTERNA LED;1.0
P-38;TRENA 10M;1.0
P-38;ARCO DE SERRA;1.0
P-38;EXTENSÃO 2,5mm - 10M;1.0
P-38;SUGADOR DE SOLDA;1.0
P-38;CHAVE CANHÃO 12mm;1.0
P-38;JOGO CHAVE TORK L;1.0
P-38;JOGO CHAVE ALLEN L;1.0
P-38;ALICATE PRENSA TERMINAIS 0,5 - 6mm;1.0
P-38;CHAVE PHILIPS ISOLADA 5/16x6mm;1.0
P-38;PINÇA CORNETA;1.0
P-38;GUIA SERRA COPO;1.0
P-38;JOGO SERRA COPO 19, 22, 29, 32, 35mm;1.0
P-38;CHAVE CANHÃO 8mm;1.0
P-38;CHAVE INGLESA 12;1.0
P-38;CHAVE CANHÃO 10mm;1.0
P-38;CHAVE CANHÃO 6mm;1.0
P-38;CHAVE INGLESA 6;1.0
P-38;CHAVE INGLESA 8;1.0
P-38;CHAVE CANHÃO 13mm;1.0
P-38;ALICATE UNIVERSAL;1.0
P-38;CHAVE TORK T25;1.0
P-38;CHAVE TORK T15;1.0
P-38;CHAVE TORK T20;1.0
P-38;ALICATE CRIMPAR CABO COAXIAL;1.0
P-38;ALICATE CORTA CABO 300mm²;1.0
P-38;ALICATE DE CORTE DIAGONAL TAM6;1.0
P-38;CHAVE FENDA 3/16x4mm;1.0
P-38;ALICATE BICO TAM 6;1.0
P-38;ALICATE REBITADOR;1.0
P-38;CHAVE PHILIPS 3/16x4mm;1.0
P-38;ALICATE CRIMPADOR RJ11, RJ12 E RJ45;1.0
P-38;JOGO DE CHAVE CATRACA SOQUETES ESTRIADOS 10mm a 32mm;1.0
P-38;DECAPADOR CABO COAXIAL;1.0
P-38;LIMA REDONDA;1.0
